2026-06-02 22:48:52 | GUEST | LOAD_RECIPE
2026-06-02 22:49:26 | aaa | LOGIN
2026-06-02 22:49:42 | aaa | LOAD_RECIPE
2026-06-02 22:50:06 | aaa | LOAD_RECIPE
2026-06-02 22:50:06 | aaa | SAVE_RECIPE
2026-06-02 22:50:08 | aaa | LOGOUT
2026-06-02 22:53:15 | GUEST | LOAD_RECIPE
2026-06-02 22:53:29 | aaa | LOGIN
2026-06-02 22:53:37 | aaa | LOAD_RECIPE
2026-06-02 22:53:37 | aaa | SAVE_RECIPE
2026-06-02 22:53:40 | aaa | LOAD_RECIPE
2026-06-02 22:53:45 | aaa | LOGOUT
2026-06-02 22:58:25 | GUEST | LOAD_RECIPE
2026-06-02 22:58:36 | aaa | LOGIN
2026-06-02 22:58:43 | aaa | LOGOUT
2026-06-02 22:58:54 | admin | LOGIN
2026-06-02 23:05:00 | GUEST | LOAD_RECIPE
2026-06-02 23:05:15 | admin | LOGIN
2026-06-02 23:06:19 | GUEST | LOAD_RECIPE
2026-06-02 23:06:34 | admin | LOGIN
2026-06-02 23:06:45 | admin | ADD_USER:aaa
2026-06-02 23:08:11 | GUEST | LOAD_RECIPE
2026-06-02 23:08:18 | aaa | LOGIN
2026-06-02 23:11:44 | GUEST | LOAD_RECIPE
2026-06-02 23:11:54 | admin | LOGIN
2026-06-02 23:12:03 | aaa | LOGIN
2026-06-02 23:14:51 | GUEST | LOAD_RECIPE
2026-06-02 23:17:18 | GUEST | LOAD_RECIPE
2026-06-02 23:17:26 | admin | LOGIN
2026-06-02 23:17:43 | admin | DELETE_USER:aaa
2026-06-02 23:17:53 | admin | ADD_USER:aaa
2026-06-02 23:18:07 | admin | ADD_USER:aaaa.
2026-06-02 23:18:08 | admin | LOGOUT
2026-06-02 23:18:13 | aaa | LOGIN
2026-06-02 23:18:42 | aaa | LOGIN
2026-06-02 23:18:50 | admin | LOGIN
2026-06-02 23:19:02 | aaaa. | LOGIN
2026-06-02 23:19:11 | admin | LOGIN
2026-06-02 23:19:15 | admin | DELETE_USER:aaaa.
2026-06-02 23:27:06 | GUEST | LOAD_RECIPE
2026-06-02 23:29:49 | GUEST | LOAD_RECIPE
2026-06-02 23:34:13 | GUEST | LOAD_RECIPE
2026-06-03 10:10:29 | GUEST | LOAD_RECIPE
2026-06-03 10:12:43 | admin | LOGIN
2026-06-03 10:16:51 | GUEST | LOAD_RECIPE
2026-06-03 10:17:10 | admin | LOGIN
2026-06-03 10:22:23 | GUEST | LOAD_RECIPE
2026-06-03 10:31:38 | GUEST | LOAD_RECIPE
2026-06-03 10:35:59 | GUEST | LOAD_RECIPE
2026-06-03 10:36:01 | GUEST | LOAD_RECIPE
2026-06-03 10:41:47 | GUEST | LOAD_RECIPE
2026-06-03 10:46:56 | GUEST | LOAD_RECIPE
2026-06-03 10:53:08 | GUEST | LOAD_RECIPE
2026-06-03 10:53:41 | admin | LOGIN
2026-06-03 11:06:06 | GUEST | LOAD_RECIPE
2026-06-03 11:06:46 | admin | LOGIN
